VAR1     =rnd(10)	5,103	,659	9,281	8,893	4,599	5,934	5,309	5,813	7,121	3,625	56,337	9,281	5,561	11,267	10,209	11,122
VAR2     =rnd(10)	1,179	7,251	8,023	8,176	7,024	7,423	5,818	5,582	5,268	2,806	58,550	8,176	6,421	11,710	8,993	12,842
VAR3     =rnd(10)	4,807	6,730	6,872	4,667	3,759	2,625	1,888	8,633	3,426	3,084	46,491	8,633	4,213	9,298	9,496	8,425
VAR4     =rnd(10)	9,649	5,388	,730	5,435	8,891	1,535	2,411	4,812	3,142	4,699	46,691	9,649	4,755	9,338	10,614	9,510
VAR5     =rnd(10)	5,969	2,589	1,667	1,932	,699	4,517	1,298	5,484	6,638	5,139	35,933	6,638	3,553	7,187	7,302	7,106
VAR6     =rnd(10)	9,448	4,992	4,234	,029	3,637	,163	2,552	2,430	7,833	3,010	38,327	9,448	3,324	7,665	10,392	6,647
VAR7     =rnd(10)	8,821	5,848	,915	3,694	7,154	9,167	7,587	9,048	9,226	5,842	67,302	9,226	7,371	13,460	10,149	14,741
VAR8     =rnd(10)	7,038	7,834	4,746	3,740	9,675	1,809	4,527	7,188	7,228	6,646	60,431	9,675	6,842	12,086	10,642	13,684
VAR9     =rnd(10)	3,959	7,791	6,553	1,780	9,716	5,574	2,434	3,255	7,485	7,035	55,582	9,716	6,063	11,116	10,688	12,127
VAR10    =rnd(10)	9,706	8,605	3,553	1,637	10,000	7,860	8,050	3,333	3,438	9,724	65,906	10,000	7,955	13,181	11,000	15,910
NEWVAR11 =rnd(10)	2,663	8,665	,575	6,989	,641	8,009	4,911	,254	1,891	1,534	36,131	8,665	2,277	7,226	9,531	4,554
NEWVAR12 =rnd(10)	1,280	4,005	,988	6,419	,433	4,121	,904	6,913	5,121	,868	31,051	6,913	2,642	6,210	7,604	5,285
NEWVAR13 =rnd(10)	,280	3,778	7,998	6,445	7,038	4,703	6,652	1,140	6,153	2,223	46,411	7,998	5,428	9,282	8,798	10,855
NEWVAR14 =rnd(10)	6,076	7,170	4,404	,733	3,892	4,245	9,908	9,138	8,648	5,949	60,163	9,908	6,012	12,033	10,898	12,025
NEWVAR15 =rnd(10)	9,241	,709	6,485	,973	9,991	6,721	6,502	8,277	1,510	5,404	55,813	9,991	6,493	11,163	10,990	12,987
NEWVAR16 =rnd(10)	,118	,241	1,721	2,807	4,764	2,870	2,755	7,107	7,183	7,102	36,667	7,183	2,839	7,333	7,901	5,677
NEWVAR17 =rnd(10)	3,263	2,939	6,694	,304	,195	7,316	3,691	1,998	7,859	3,682	37,940	7,859	3,473	7,588	8,645	6,946
NEWVAR18 =rnd(10)	3,721	2,892	7,086	5,685	2,435	1,272	2,299	7,204	1,733	5,821	40,149	7,204	3,306	8,030	7,924	6,612
NEWVAR19 =rnd(10)	9,312	,221	2,409	8,926	1,653	7,085	3,618	9,533	8,245	8,725	59,727	9,533	7,665	11,945	10,487	15,330
NEWVAR20 =rnd(10)	4,466	9,624	,243	5,394	8,048	3,356	9,843	1,488	3,235	2,955	48,652	9,843	3,911	9,730	10,827	7,822
