	1,102	8,762	14,075	16,544	10,595	1,986	8,685	,585	4,946	,603	1,943	10,409	1,333	7,935	,618	1,506	1,573	7,270	5,540	,246
	2,946	3,231	19,570	4,474	2,517	5,074	,269	8,680	,900	3,725	2,765	11,941	4,954	4,044	1,792	,460	1,930	7,976	3,910	1,523
	12,603	7,993	4,589	5,946	6,361	3,073	9,549	,625	,055	1,124	7,478	10,146	2,677	,145	,048	3,159	4,373	18,722	1,250	3,156
	5,427	14,794	,268	,327	2,439	,553	17,672	,086	7,928	1,368	,839	1,998	1,612	4,453	14,251	5,873	,636	1,778	4,330	6,001
	22,885	10,365	5,296	3,332	1,181	1,427	5,192	1,317	11,535	,131	25,621	9,965	,825	6,825	13,304	4,117	2,067	1,261	17,237	7,633
	5,763	1,730	7,913	2,846	3,984	9,240	1,602	4,372	2,808	,918	1,349	1,002	1,779	11,840	1,330	14,612	1,701	9,570	18,161	6,911
	,207	16,718	4,597	,259	7,030	5,850	5,700	9,253	,822	,693	5,459	15,147	4,097	4,841	,801	3,258	9,087	,149	1,479	,295
	6,757	,613	7,988	23,517	30,076	5,176	2,047	6,466	,105	11,868	,515	3,595	,394	,770	4,008	1,762	8,973	,002	4,227	2,802
	4,125	8,464	13,664	7,990	4,716	4,972	,050	7,446	12,356	4,783	4,532	4,434	13,426	1,774	3,873	5,315	11,315	21,297	3,140	,942
	,738	7,913	,620	,006	3,363	4,554	7,440	19,968	2,587	7,542	2,183	3,165	7,225	,053	4,190	3,127	,588	4,871	7,654	4,928
	2,438	3,486	17,859	3,432	18,030	28,218	3,383	3,127	10,751	5,696	10,615	9,788	6,293	7,645	1,447	12,918	,522	4,200	6,921	14,042
	15,211	1,765	,882	1,492	9,100	,992	6,069	6,091	6,418	3,759	6,609	,163	,329	11,551	,886	6,978	1,258	7,155	8,191	1,660
	,546	,616	15,538	,172	7,405	,735	1,751	2,618	3,792	5,395	10,644	5,426	1,516	1,522	1,330	3,611	,667	8,084	,849	16,412
	1,362	5,559	,495	4,830	3,045	1,830	2,433	,330	,756	6,605	8,091	1,715	11,399	3,189	,144	2,534	3,379	1,108	11,835	5,118
	,794	4,592	7,854	2,109	1,181	3,379	2,347	1,136	5,474	,593	28,960	2,943	14,201	,816	9,647	,115	,001	8,749	5,616	2,735
