VAR1     =rnd(10)	8,874	1,010	4,526	,392	9,998	5,242	5,285	8,939	8,307	9,189	4,665	3,643	6,147	8,348	3,539	4,786	8,986	2,383	9,738	3,400	5,113	7,245	7,937	2,898	7,017	2,317	4,458	5,872	7,215	4,144	2,351	,136	6,392	3,302	7,022	3,070	6,614	5,976	7,751	8,322	222,551	9,998	5,578	11,128	10,248	11,157
VAR2     =rnd(10)	7,468	6,809	5,399	3,941	7,916	4,583	1,615	5,997	1,689	7,291	9,867	6,748	9,026	8,168	3,594	1,429	2,570	9,247	1,805	2,706	,246	3,986	7,430	6,875	2,915	5,549	8,733	,861	9,630	2,292	9,115	4,081	8,301	7,011	5,595	4,228	4,582	1,535	1,308	1,048	203,188	9,867	4,991	10,159	10,114	9,982
VAR3     =rnd(10)	6,799	3,204	2,306	7,168	9,711	4,806	3,999	,034	4,953	4,535	7,533	4,026	,930	7,530	1,421	6,814	,009	5,558	8,742	9,011	5,808	6,409	5,217	1,189	8,387	9,552	8,481	7,328	,172	9,628	3,851	8,741	,409	4,337	6,921	7,563	,961	8,286	8,275	3,842	214,447	9,711	5,683	10,722	9,954	11,366
VAR4     =rnd(10)	1,278	9,347	,648	5,315	5,323	9,104	3,840	3,914	8,301	3,946	7,696	8,079	5,969	8,361	8,463	4,932	4,369	7,003	8,842	1,378	2,774	7,094	7,040	8,189	7,680	7,712	5,141	6,147	,630	7,545	2,108	8,295	7,718	7,659	1,718	7,365	3,546	,850	,763	2,442	218,524	9,347	6,058	10,926	9,580	12,116
VAR5     =rnd(10)	7,481	4,142	7,805	3,937	5,000	5,990	7,820	,909	1,952	4,748	3,030	9,829	4,539	9,984	5,232	8,819	2,832	3,166	9,957	6,449	,634	9,333	7,747	9,148	9,511	6,261	2,876	6,282	9,781	2,721	4,829	6,983	6,301	2,391	2,840	7,768	1,847	4,953	8,819	5,029	229,671	9,984	5,611	11,484	10,233	11,221
VAR6     =rnd(10)	5,904	,983	8,956	1,441	1,679	2,154	9,348	,368	9,149	3,348	5,921	7,309	6,953	8,215	4,002	2,466	,956	4,754	7,815	3,484	2,271	2,485	5,240	2,430	2,576	7,747	8,137	6,070	9,521	8,721	3,550	3,516	,057	6,715	6,096	,291	4,472	5,279	6,869	2,889	190,137	9,521	4,613	9,507	9,760	9,226
VAR7     =rnd(10)	8,976	3,719	9,150	2,880	9,627	6,564	6,248	4,631	5,415	5,555	1,791	5,704	3,325	5,718	7,760	3,991	3,184	2,076	,592	,651	5,096	8,574	,669	2,906	7,303	5,766	5,488	5,766	7,255	8,844	1,844	6,746	3,724	2,553	7,321	2,627	2,760	4,569	6,420	2,332	196,117	9,627	5,255	9,806	9,867	10,511
VAR8     =rnd(10)	5,311	3,889	1,624	4,983	9,312	5,813	4,715	7,187	4,064	,061	8,665	8,634	9,705	3,606	5,393	,046	9,597	4,768	9,732	2,564	8,429	,144	4,878	2,615	3,863	,937	9,675	1,328	4,520	,231	3,017	2,576	2,133	7,796	5,694	8,679	,664	3,972	4,996	7,850	193,666	9,732	4,742	9,683	9,975	9,483
VAR9     =rnd(10)	,220	9,194	2,376	2,451	8,548	,725	9,503	2,098	7,958	3,168	2,989	,699	,457	4,292	3,142	1,483	8,926	2,769	7,016	9,074	7,135	9,362	1,099	2,679	6,428	8,129	3,945	9,459	1,876	9,213	4,053	2,125	5,716	9,779	3,313	9,850	,883	4,650	1,339	6,534	194,657	9,850	3,999	9,733	10,097	7,998
VAR10    =rnd(10)	2,466	3,224	,986	5,495	9,867	4,208	,370	4,653	7,511	4,761	1,709	1,267	6,897	5,589	2,291	,270	7,810	8,551	7,885	5,304	1,505	8,363	3,900	6,469	3,678	4,934	4,620	3,890	,034	7,913	5,808	1,140	2,264	,006	1,010	7,588	7,245	,627	6,857	3,739	172,707	9,867	4,414	8,635	10,114	8,828
NEWVAR11 =rnd(10)	7,275	6,438	7,683	8,622	4,159	,348	4,779	3,291	4,952	5,540	,581	9,508	2,170	6,064	3,115	7,653	6,299	,590	1,007	2,943	3,387	,857	4,376	4,015	5,559	1,399	1,911	2,930	7,243	2,098	9,460	,667	4,940	,134	,427	7,168	3,339	2,891	3,310	9,998	169,123	9,998	3,701	8,456	10,247	7,402
NEWVAR12 =rnd(10)	5,591	8,385	6,665	,678	,554	4,769	6,836	2,758	4,829	5,489	8,748	,692	2,389	1,640	5,074	3,569	9,617	8,098	4,102	2,782	8,574	4,980	1,600	7,674	6,289	,999	6,997	8,244	2,915	,280	9,197	8,955	6,526	9,189	2,331	2,730	7,401	4,745	6,766	9,181	208,834	9,617	5,281	10,442	9,858	10,562
